model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 3 Series,2018,21397.0,Semi-Auto,5034,Diesel,145,62.8,2.0
 2 Series,2019,26991.0,Manual,103,Diesel,145,51.4,2.0
 2 Series,2019,27990.0,Semi-Auto,1614,Diesel,145,49.6,2.0
 2 Series,2019,28361.0,Semi-Auto,101,Petrol,145,50.4,2.0
 X1,2017,21250.0,Semi-Auto,17962,Petrol,165,44.8,2.0
 2 Series,2018,19000.0,Semi-Auto,9641,Petrol,145,38.2,2.0
 3 Series,2018,19900.0,Semi-Auto,12030,Diesel,145,64.2,2.0
 5 Series,2019,28800.0,Semi-Auto,5360,Diesel,145,65.7,2.0
 3 Series,2019,29480.0,Semi-Auto,2228,Diesel,145,52.3,2.0
 1 Series,2019,16980.0,Manual,12,Diesel,145,68.9,2.0
 4 Series,2019,24785.0,Semi-Auto,2924,Petrol,145,48.7,2.0
 3 Series,2018,19490.0,Semi-Auto,28816,Petrol,150,48.7,2.0
 3 Series,2015,14531.0,Semi-Auto,41330,Diesel,125,61.4,2.0
 3 Series,2019,27480.0,Manual,18,Diesel,145,54.3,2.0
 4 Series,2019,29840.0,Semi-Auto,6011,Diesel,145,60.1,2.0
 2 Series,2019,21480.0,Manual,3347,Diesel,145,61.4,2.0
 X1,2019,25780.0,Semi-Auto,4224,Diesel,145,60.1,2.0
 3 Series,2019,27480.0,Manual,4398,Diesel,145,54.3,2.0
 3 Series,2019,26498.0,Semi-Auto,17794,Diesel,145,48.7,2.0
 4 Series,2015,15991.0,Manual,28000,Petrol,165,44.8,2.0
 X3,2019,33990.0,Semi-Auto,3440,Diesel,150,54.3,2.0
 3 Series,2020,30940.0,Semi-Auto,1586,Diesel,150,50.4,2.0
 2 Series,2019,22990.0,Manual,8567,Diesel,150,51.4,2.0
 1 Series,2020,29950.0,Semi-Auto,3422,Diesel,150,48.7,2.0
 3 Series,2017,20990.0,Semi-Auto,6971,Diesel,125,60.1,2.0
 X1,2017,19990.0,Semi-Auto,18754,Diesel,150,65.7,2.0
 Z4,2020,33850.0,Semi-Auto,5,Petrol,150,38.7,2.0
 2 Series,2017,18990.0,Semi-Auto,31208,Diesel,150,65.7,2.0
 5 Series,2020,26990.0,Semi-Auto,14,Petrol,150,50.4,2.0
 3 Series,2015,13990.0,Semi-Auto,45116,Petrol,150,47.9,2.0
 1 Series,2017,20990.0,Semi-Auto,25249,Diesel,150,61.4,2.0
 5 Series,2019,25490.0,Semi-Auto,5656,Petrol,150,50.4,2.0
 4 Series,2019,34885.0,Semi-Auto,4883,Diesel,145,60.1,2.0
 1 Series,2019,32760.0,Semi-Auto,2690,Petrol,145,34.5,2.0
 4 Series,2019,22690.0,Semi-Auto,4940,Diesel,150,65.7,2.0
 4 Series,2019,22490.0,Semi-Auto,7949,Diesel,150,65.7,2.0
 X3,2020,32490.0,Semi-Auto,6565,Diesel,150,54.3,2.0
 2 Series,2018,18990.0,Semi-Auto,13600,Petrol,150,38.2,2.0
 3 Series,2017,20030.0,Semi-Auto,44751,Petrol,145,48.7,2.0
 4 Series,2017,20385.0,Semi-Auto,19221,Diesel,145,65.7,2.0
 3 Series,2018,21420.0,Semi-Auto,21328,Diesel,145,60.1,2.0
 4 Series,2016,19972.0,Semi-Auto,15705,Petrol,145,48.7,2.0
 4 Series,2018,21216.0,Semi-Auto,11685,Diesel,145,65.7,2.0
 3 Series,2019,20298.0,Manual,6018,Diesel,145,64.2,2.0
 4 Series,2019,32087.0,Semi-Auto,1678,Diesel,145,65.7,2.0
 X3,2019,34991.0,Semi-Auto,2549,Diesel,145,54.3,2.0
 X4,2020,41904.0,Semi-Auto,101,Diesel,145,42.8,2.0
 4 Series,2019,21990.0,Semi-Auto,9654,Diesel,150,65.7,2.0
 4 Series,2019,24490.0,Manual,9232,Petrol,150,42.8,2.0
 4 Series,2019,23490.0,Semi-Auto,8175,Diesel,150,65.7,2.0
 X2,2020,34990.0,Semi-Auto,10,Petrol,150,34.0,2.0
 Z4,2020,30990.0,Semi-Auto,100,Petrol,150,38.7,2.0
 3 Series,2020,28990.0,Semi-Auto,14,Diesel,150,50.4,2.0
 1 Series,2017,14950.0,Manual,13971,Diesel,150,68.9,2.0
 X3,2017,22490.0,Semi-Auto,13697,Diesel,150,54.3,2.0
 5 Series,2020,27990.0,Semi-Auto,9,Petrol,150,36.2,2.0
 3 Series,2020,24990.0,Semi-Auto,22,Diesel,150,54.3,2.0
 5 Series,2020,26990.0,Semi-Auto,6,Petrol,145,52.3,2.0
 3 Series,2017,17490.0,Semi-Auto,18138,Diesel,145,64.2,2.0
 1 Series,2020,23490.0,Manual,6565,Diesel,150,53.3,2.0
 2 Series,2020,22990.0,Semi-Auto,11,Petrol,150,47.9,2.0
 1 Series,2019,24490.0,Semi-Auto,2036,Diesel,150,53.3,2.0
 3 Series,2020,24990.0,Semi-Auto,16,Diesel,150,54.3,2.0
 5 Series,2020,27990.0,Semi-Auto,9,Hybrid,150,49.6,2.0
 X4,2019,34990.0,Semi-Auto,5656,Diesel,150,42.8,2.0
 1 Series,2019,25490.0,Manual,10,Diesel,145,53.3,2.0
 5 Series,2019,26350.0,Semi-Auto,10312,Diesel,145,65.7,2.0
 1 Series,2019,29490.0,Semi-Auto,7656,Petrol,150,34.5,2.0
 3 Series,2020,30850.0,Semi-Auto,5656,Diesel,150,48.7,2.0
 2 Series,2019,24990.0,Semi-Auto,10,Petrol,145,50.4,2.0
 Z4,2020,29990.0,Semi-Auto,4646,Petrol,145,38.7,2.0
 4 Series,2019,27890.0,Semi-Auto,2476,Petrol,145,48.7,2.0
 X2,2019,28490.0,Semi-Auto,2949,Diesel,145,61.4,2.0
 4 Series,2019,26490.0,Semi-Auto,1652,Petrol,145,45.6,2.0
 4 Series,2019,25850.0,Semi-Auto,2146,Diesel,145,65.7,2.0
 4 Series,2019,25850.0,Semi-Auto,1980,Diesel,145,65.7,2.0
 2 Series,2019,22650.0,Manual,100,Diesel,145,61.4,2.0
 5 Series,2018,22600.0,Semi-Auto,14102,Diesel,145,68.9,2.0
 X1,2016,13991.0,Manual,46424,Diesel,125,60.1,2.0
 3 Series,2019,23980.0,Semi-Auto,4628,Diesel,145,62.8,2.0
 5 Series,2020,29990.0,Semi-Auto,10,Petrol,145,50.4,2.0
 X2,2020,23450.0,Manual,15,Diesel,145,55.4,2.0
 4 Series,2020,25980.0,Manual,14,Petrol,145,46.3,2.0
 3 Series,2020,28990.0,Semi-Auto,5656,Diesel,145,52.3,2.0
 3 Series,2020,30490.0,Semi-Auto,6565,Diesel,145,50.4,2.0
 1 Series,2020,30990.0,Semi-Auto,5656,Petrol,145,34.5,2.0
 3 Series,2020,33990.0,Semi-Auto,5665,Petrol,145,40.4,2.0
 4 Series,2019,23450.0,Semi-Auto,6900,Diesel,145,65.7,2.0
 X1,2016,17700.0,Semi-Auto,37326,Diesel,125,57.6,2.0
 5 Series,2019,26350.0,Semi-Auto,4694,Diesel,145,65.7,2.0
 3 Series,2019,28450.0,Semi-Auto,9809,Petrol,145,43.5,2.0
 5 Series,2019,26350.0,Semi-Auto,6260,Diesel,145,65.7,2.0
 5 Series,2019,26350.0,Semi-Auto,9334,Diesel,145,65.7,2.0
 3 Series,2020,28990.0,Semi-Auto,4,Diesel,145,62.8,2.0
 3 Series,2019,24450.0,Manual,4725,Diesel,145,54.3,2.0
 3 Series,2019,27450.0,Semi-Auto,7827,Petrol,145,43.5,2.0
 5 Series,2019,26490.0,Semi-Auto,10656,Diesel,150,65.7,2.0
 5 Series,2019,24397.0,Semi-Auto,10423,Diesel,145,65.7,2.0
 X2,2019,29490.0,Semi-Auto,1155,Diesel,145,61.4,2.0
 1 Series,2019,29950.0,Semi-Auto,10,Diesel,145,48.7,2.0
 4 Series,2019,25450.0,Semi-Auto,1678,Petrol,145,48.7,2.0
 1 Series,2019,27490.0,Semi-Auto,2270,Diesel,145,51.4,2.0
 5 Series,2020,34850.0,Semi-Auto,16,Hybrid,145,44.8,2.0
 3 Series,2020,23490.0,Manual,15,Diesel,145,58.9,2.0
 3 Series,2020,29990.0,Semi-Auto,9,Diesel,145,50.4,2.0
 3 Series,2020,23990.0,Manual,13,Diesel,145,56.5,2.0
 3 Series,2019,24597.0,Semi-Auto,5574,Petrol,145,48.7,2.0
 2 Series,2018,32271.0,Semi-Auto,103,Diesel,145,49.6,2.0
 X2,2019,32991.0,Semi-Auto,2899,Petrol,145,39.2,2.0
 X2,2018,24530.0,Semi-Auto,25660,Diesel,145,61.4,2.0
 X1,2019,23497.0,Semi-Auto,105,Petrol,145,37.7,2.0
 1 Series,2019,27990.0,Semi-Auto,10,Diesel,145,51.4,2.0
 X2,2019,26490.0,Semi-Auto,10,Petrol,145,38.7,2.0
 1 Series,2019,24990.0,Manual,10,Diesel,145,53.3,2.0
 3 Series,2019,29990.0,Semi-Auto,7460,Diesel,145,48.7,2.0
 3 Series,2019,28440.0,Semi-Auto,8788,Diesel,145,48.7,2.0
 5 Series,2020,32850.0,Semi-Auto,5,Hybrid,145,62.8,2.0
 X2,2020,26890.0,Manual,9,Diesel,145,53.3,2.0
 5 Series,2020,27990.0,Semi-Auto,8,Hybrid,145,52.3,2.0
 5 Series,2017,23980.0,Semi-Auto,29539,Diesel,145,60.1,2.0
 3 Series,2019,30326.0,Semi-Auto,3392,Petrol,145,41.5,2.0
 3 Series,2020,22850.0,Semi-Auto,12,Petrol,145,43.5,2.0
 3 Series,2018,22875.0,Semi-Auto,8973,Petrol,145,47.9,2.0
 2 Series,2019,21945.0,Semi-Auto,11687,Petrol,145,47.9,2.0
 X1,2016,20845.0,Semi-Auto,17699,Petrol,160,44.8,2.0
 3 Series,2019,31390.0,Semi-Auto,5029,Petrol,145,40.9,2.0
 3 Series,2019,24990.0,Manual,4753,Diesel,145,64.2,2.0
 3 Series,2019,24950.0,Manual,3238,Diesel,145,64.2,2.0
 3 Series,2019,23790.0,Semi-Auto,8178,Petrol,145,47.9,2.0
 3 Series,2019,23980.0,Semi-Auto,2198,Petrol,145,47.9,2.0
 4 Series,2019,24975.0,Semi-Auto,9533,Diesel,145,65.7,2.0
 1 Series,2017,24490.0,Manual,102,Diesel,145,65.7,2.0
 Z4,2020,33490.0,Semi-Auto,10,Petrol,145,38.7,2.0
 X1,2020,29450.0,Semi-Auto,10,Diesel,145,40.9,2.0
 4 Series,2017,16900.0,Automatic,19834,Diesel,145,65.7,2.0
 3 Series,2018,15620.0,Manual,19281,Diesel,145,60.1,2.0
 2 Series,2020,24475.0,Manual,117,Diesel,145,51.4,2.0
 4 Series,2018,22440.0,Semi-Auto,13673,Petrol,145,48.7,2.0
 5 Series,2019,26350.0,Semi-Auto,9062,Diesel,145,65.7,2.0
 2 Series,2019,22950.0,Semi-Auto,11,Diesel,145,64.2,2.0
 2 Series,2019,23890.0,Semi-Auto,14,Diesel,145,62.8,2.0
 3 Series,2019,23775.0,Semi-Auto,2552,Petrol,145,47.9,2.0
 3 Series,2019,23775.0,Semi-Auto,2359,Petrol,145,47.9,2.0
 1 Series,2019,15995.0,Manual,5500,Diesel,145,68.9,2.0
 4 Series,2016,24980.0,Manual,10,Petrol,160,46.3,2.0
 X1,2017,30980.0,Semi-Auto,10,Petrol,160,44.8,2.0
 2 Series,2019,23975.0,Semi-Auto,3013,Diesel,150,64.2,2.0
 3 Series,2020,32475.0,Semi-Auto,12,Diesel,145,48.7,2.0
 5 Series,2020,32475.0,Semi-Auto,12,Hybrid,145,49.6,2.0
 3 Series,2020,33475.0,Semi-Auto,12,Diesel,145,48.7,2.0
 X2,2018,22470.0,Semi-Auto,10500,Diesel,145,61.4,2.0
 3 Series,2018,21998.0,Semi-Auto,17810,Diesel,145,60.1,2.0
 3 Series,2018,19498.0,Semi-Auto,17686,Diesel,145,64.2,2.0
 X2,2019,27990.0,Semi-Auto,10,Petrol,145,38.7,2.0
 2 Series,2017,21990.0,Manual,10,Diesel,145,64.2,2.0
 3 Series,2019,26450.0,Manual,3055,Diesel,145,54.3,2.0
 3 Series,2019,26450.0,Manual,3093,Diesel,145,54.3,2.0
 X1,2017,20375.0,Semi-Auto,28005,Diesel,125,57.6,2.0
 4 Series,2019,23450.0,Semi-Auto,11,Diesel,145,65.7,2.0
 3 Series,2019,31440.0,Semi-Auto,4675,Petrol,145,40.9,2.0
 3 Series,2019,23975.0,Semi-Auto,5749,Petrol,145,47.9,2.0
 X3,2019,32975.0,Semi-Auto,2715,Diesel,145,54.3,2.0
 5 Series,2020,26990.0,Semi-Auto,11,Petrol,145,52.3,2.0
 X2,2019,27275.0,Semi-Auto,5177,Diesel,145,48.7,2.0
 3 Series,2019,24775.0,Manual,3368,Diesel,145,64.2,2.0
 X1,2016,17410.0,Automatic,32123,Diesel,125,57.6,2.0
 X1,2016,17207.0,Automatic,42761,Diesel,145,55.4,2.0
 5 Series,2013,10037.0,Automatic,77262,Diesel,125,60.1,2.0
 3 Series,2019,24775.0,Manual,3758,Diesel,145,64.2,2.0
 3 Series,2019,23990.0,Manual,4026,Diesel,145,64.2,2.0
 3 Series,2019,31390.0,Semi-Auto,3097,Petrol,145,41.5,2.0
 1 Series,2019,28975.0,Semi-Auto,7110,Petrol,150,34.5,2.0
 3 Series,2019,25975.0,Semi-Auto,3119,Petrol,150,42.2,2.0
 3 Series,2019,27975.0,Semi-Auto,8856,Diesel,150,52.3,2.0
 X4,2019,35480.0,Semi-Auto,10395,Diesel,150,42.8,2.0
 2 Series,2020,23990.0,Semi-Auto,18,Diesel,150,49.6,2.0
 4 Series,2020,25980.0,Semi-Auto,14,Diesel,145,65.7,2.0
 3 Series,2013,9200.0,Automatic,83944,Diesel,125,60.1,2.0
 3 Series,2019,31275.0,Semi-Auto,5494,Petrol,145,41.5,2.0
 3 Series,2019,24275.0,Semi-Auto,10361,Diesel,145,62.8,2.0
 4 Series,2019,24775.0,Semi-Auto,10535,Diesel,145,65.7,2.0
 5 Series,2019,26275.0,Semi-Auto,7585,Diesel,145,65.7,2.0
 5 Series,2019,28975.0,Semi-Auto,2013,Diesel,145,60.1,2.0
 X1,2019,28790.0,Semi-Auto,3911,Petrol,145,38.7,2.0
 4 Series,2020,25775.0,Semi-Auto,12,Diesel,150,65.7,2.0
 3 Series,2019,25950.0,Semi-Auto,3977,Petrol,145,43.5,2.0
 5 Series,2019,26350.0,Semi-Auto,8324,Diesel,145,65.7,2.0
 3 Series,2020,30990.0,Semi-Auto,3656,Diesel,150,50.4,2.0
 3 Series,2020,27990.0,Semi-Auto,6565,Petrol,150,42.2,2.0
 X2,2020,28490.0,Semi-Auto,6565,Diesel,150,58.9,2.0
 1 Series,2020,25450.0,Semi-Auto,6565,Diesel,150,51.4,2.0
 X1,2020,25490.0,Semi-Auto,5656,Diesel,150,47.9,2.0
 X2,2020,23990.0,Manual,15,Diesel,150,55.4,2.0
 2 Series,2020,26475.0,Semi-Auto,12,Diesel,145,51.4,2.0
 3 Series,2020,26490.0,Semi-Auto,14,Diesel,150,60.1,2.0
 3 Series,2019,29975.0,Manual,1254,Diesel,145,54.3,2.0
 3 Series,2019,27275.0,Manual,3377,Diesel,145,54.3,2.0
 3 Series,2019,28775.0,Semi-Auto,5800,Diesel,145,52.3,2.0
 3 Series,2019,24775.0,Manual,3043,Diesel,145,64.2,2.0
 3 Series,2018,24475.0,Semi-Auto,10548,Petrol,145,46.3,2.0
 3 Series,2018,24790.0,Semi-Auto,12,Petrol,145,48.7,2.0
 3 Series,2018,27490.0,Semi-Auto,12,Diesel,145,57.7,2.0
 X3,2019,34440.0,Semi-Auto,11,Diesel,145,54.3,2.0
 3 Series,2020,29990.0,Semi-Auto,9,Diesel,145,51.4,2.0
 X2,2020,34450.0,Semi-Auto,14,Petrol,145,34.0,2.0
 5 Series,2020,31450.0,Semi-Auto,8,Hybrid,145,60.1,2.0
 5 Series,2020,29950.0,Semi-Auto,6,Hybrid,145,49.6,2.0
 2 Series,2020,26490.0,Semi-Auto,10,Diesel,150,47.1,2.0
 4 Series,2018,22275.0,Semi-Auto,18243,Petrol,145,48.7,2.0
 2 Series,2019,23775.0,Manual,34,Diesel,145,60.1,2.0
 2 Series,2019,22775.0,Manual,10,Diesel,145,51.4,2.0
 5 Series,2019,31475.0,Semi-Auto,12,Petrol,145,48.7,2.0
 4 Series,2019,24275.0,Semi-Auto,13,Petrol,145,45.6,2.0
 4 Series,2019,24275.0,Semi-Auto,12,Petrol,145,45.6,2.0
 4 Series,2019,23975.0,Semi-Auto,13,Petrol,145,45.6,2.0
 X2,2018,28990.0,Manual,12,Diesel,145,52.3,2.0
 X3,2018,39650.0,Semi-Auto,12,Diesel,145,54.3,2.0
 5 Series,2019,26350.0,Semi-Auto,14345,Diesel,145,65.7,2.0
 X1,2019,25999.0,Semi-Auto,4575,Diesel,145,60.1,2.0
 X1,2019,25999.0,Semi-Auto,2974,Diesel,145,60.1,2.0
 3 Series,2019,23980.0,Semi-Auto,2760,Diesel,145,62.8,2.0
 2 Series,2019,21775.0,Semi-Auto,10570,Petrol,145,47.9,2.0
 2 Series,2019,21775.0,Semi-Auto,8878,Petrol,145,47.9,2.0
 X1,2018,21975.0,Semi-Auto,16719,Diesel,145,60.1,2.0
 X1,2017,20975.0,Semi-Auto,14063,Petrol,160,44.8,2.0
 3 Series,2020,29990.0,Semi-Auto,12,Petrol,150,41.5,2.0
 3 Series,2020,23990.0,Manual,5,Diesel,145,56.5,2.0
 3 Series,2020,23850.0,Semi-Auto,23,Petrol,145,42.2,2.0
 3 Series,2015,16799.0,Semi-Auto,35365,Diesel,145,57.6,2.0
 3 Series,2015,13275.0,Manual,61062,Diesel,125,60.1,2.0
 3 Series,2020,23990.0,Manual,16,Diesel,145,56.5,2.0
 3 Series,2020,24850.0,Semi-Auto,10,Diesel,145,52.3,2.0
 4 Series,2014,16475.0,Semi-Auto,17500,Petrol,160,44.8,2.0
 5 Series,2020,32850.0,Semi-Auto,12,Hybrid,145,62.8,2.0
 1 Series,2019,18999.0,Semi-Auto,12011,Diesel,145,65.7,2.0
 3 Series,2019,28950.0,Semi-Auto,5367,Diesel,145,52.3,2.0
 1 Series,2018,16775.0,Manual,10842,Diesel,145,65.7,2.0
 4 Series,2019,23750.0,Semi-Auto,9,Diesel,145,65.7,2.0
 4 Series,2018,21975.0,Semi-Auto,18165,Petrol,145,48.7,2.0
 5 Series,2019,27875.0,Semi-Auto,3905,Diesel,145,55.4,2.0
 5 Series,2019,27998.0,Semi-Auto,6865,Diesel,145,60.1,2.0
 1 Series,2019,19498.0,Semi-Auto,11602,Diesel,145,67.3,2.0
 3 Series,2017,15498.0,Semi-Auto,43678,Diesel,150,60.1,2.0
 1 Series,2014,12111.0,Semi-Auto,57617,Diesel,125,60.1,2.0
 4 Series,2016,17999.0,Manual,30055,Diesel,145,55.4,2.0
 3 Series,2017,19490.0,Semi-Auto,41816,Diesel,145,64.2,2.0
 X3,2019,29480.0,Automatic,7164,Diesel,145,56.5,2.0
 X3,2016,22980.0,Semi-Auto,46389,Diesel,145,54.3,2.0
 X1,2017,20980.0,Semi-Auto,16717,Diesel,145,60.1,2.0
 3 Series,2019,30990.0,Semi-Auto,1204,Diesel,145,49.6,2.0
 3 Series,2019,27480.0,Semi-Auto,11103,Diesel,145,52.3,2.0
 4 Series,2019,24250.0,Semi-Auto,110,Diesel,145,60.1,2.0
 2 Series,2019,19975.0,Semi-Auto,9503,Diesel,145,49.6,2.0
 5 Series,2019,25990.0,Semi-Auto,11114,Diesel,145,65.7,2.0
 2 Series,2019,19880.0,Automatic,8556,Diesel,145,52.3,2.0
 X1,2020,25980.0,Semi-Auto,19,Diesel,145,60.1,2.0
 Z4,2020,29980.0,Semi-Auto,10,Petrol,145,38.7,2.0
 1 Series,2019,21490.0,Automatic,7314,Diesel,145,65.7,2.0
 2 Series,2019,22480.0,Manual,6521,Diesel,145,60.1,2.0
 3 Series,2019,27480.0,Semi-Auto,5090,Petrol,145,45.6,2.0
 5 Series,2019,26480.0,Semi-Auto,8601,Petrol,145,50.4,2.0
 4 Series,2019,24980.0,Semi-Auto,6917,Diesel,145,65.7,2.0
 3 Series,2019,26990.0,Semi-Auto,7264,Diesel,145,48.7,2.0
 3 Series,2019,27890.0,Semi-Auto,1984,Diesel,145,48.7,2.0
 5 Series,2019,27780.0,Semi-Auto,12182,Diesel,145,65.7,2.0
 2 Series,2019,22990.0,Semi-Auto,682,Petrol,145,47.9,2.0
 3 Series,2019,27980.0,Semi-Auto,5023,Petrol,145,45.6,2.0
 3 Series,2019,24450.0,Manual,3378,Diesel,145,64.2,2.0
 3 Series,2019,24450.0,Manual,2912,Diesel,145,64.2,2.0
 3 Series,2019,23990.0,Manual,4710,Diesel,145,54.3,2.0
 3 Series,2019,26440.0,Manual,102,Diesel,145,54.3,2.0
 X2,2019,24990.0,Semi-Auto,1702,Diesel,145,47.9,2.0
 X2,2019,26790.0,Manual,103,Diesel,145,53.3,2.0
 3 Series,2019,24450.0,Manual,3973,Diesel,145,64.2,2.0
 3 Series,2019,24980.0,Semi-Auto,6941,Petrol,145,42.2,2.0
 1 Series,2019,19980.0,Automatic,11303,Diesel,145,48.7,2.0
 4 Series,2019,22450.0,Manual,115,Petrol,145,46.3,2.0
 4 Series,2019,24450.0,Semi-Auto,8128,Diesel,145,65.7,2.0
 2 Series,2019,23450.0,Semi-Auto,9683,Diesel,145,57.7,2.0
 1 Series,2019,20875.0,Semi-Auto,4834,Diesel,145,67.3,2.0
 1 Series,2020,25890.0,Manual,1182,Diesel,145,53.3,2.0
 3 Series,2019,25350.0,Semi-Auto,22095,Diesel,145,52.3,2.0
 3 Series,2019,33875.0,Semi-Auto,9389,Diesel,145,49.6,2.0
 2 Series,2019,21945.0,Semi-Auto,9408,Petrol,145,47.9,2.0
 1 Series,2019,17980.0,Manual,6756,Diesel,145,65.7,2.0
 1 Series,2019,18975.0,Manual,5650,Diesel,145,65.7,2.0
 1 Series,2019,19875.0,Semi-Auto,7044,Diesel,145,67.3,2.0
 1 Series,2019,19975.0,Manual,5303,Diesel,145,65.7,2.0
 1 Series,2019,17480.0,Manual,5230,Diesel,145,68.9,2.0
 3 Series,2019,28980.0,Automatic,6129,Diesel,145,50.4,2.0
 2 Series,2019,21980.0,Manual,8494,Diesel,145,64.2,2.0
 X2,2018,19240.0,Manual,18440,Diesel,145,55.4,2.0
 3 Series,2019,27980.0,Automatic,5000,Diesel,145,52.3,2.0
 2 Series,2019,23480.0,Semi-Auto,112,Petrol,145,47.9,2.0
 5 Series,2019,31875.0,Semi-Auto,114,Petrol,145,48.7,2.0
 1 Series,2019,20875.0,Semi-Auto,5954,Diesel,145,67.3,2.0
 4 Series,2019,23990.0,Semi-Auto,120,Diesel,145,60.1,2.0
 X4,2019,35480.0,Semi-Auto,10755,Diesel,145,42.8,2.0
 3 Series,2019,24690.0,Semi-Auto,5246,Petrol,145,47.9,2.0
 3 Series,2019,23980.0,Semi-Auto,1051,Petrol,145,47.9,2.0
 3 Series,2019,23980.0,Semi-Auto,2480,Petrol,145,47.9,2.0
 2 Series,2017,16698.0,Automatic,27201,Diesel,145,64.2,2.0
 3 Series,2019,24998.0,Semi-Auto,11904,Diesel,145,60.1,2.0
 1 Series,2019,19998.0,Semi-Auto,7222,Petrol,150,47.9,2.0
 3 Series,2019,24450.0,Semi-Auto,8196,Diesel,145,62.8,2.0
 3 Series,2019,22990.0,Manual,1122,Diesel,145,60.1,2.0
 4 Series,2019,27990.0,Semi-Auto,9529,Diesel,145,60.1,2.0
 3 Series,2019,28450.0,Semi-Auto,1951,Diesel,145,52.3,2.0
 4 Series,2019,25490.0,Semi-Auto,3516,Petrol,145,48.7,2.0
 4 Series,2019,26450.0,Semi-Auto,2924,Petrol,145,48.7,2.0
 4 Series,2019,24975.0,Semi-Auto,11324,Diesel,145,65.7,2.0
 5 Series,2019,26790.0,Semi-Auto,10389,Diesel,145,65.7,2.0
 5 Series,2019,26350.0,Semi-Auto,11301,Diesel,145,65.7,2.0
 1 Series,2017,13995.0,Semi-Auto,39714,Diesel,145,67.3,2.0
 2 Series,2019,21590.0,Semi-Auto,10199,Petrol,145,47.9,2.0
 1 Series,2017,16480.0,Manual,21344,Diesel,145,62.8,2.0
 4 Series,2014,11991.0,Manual,50757,Petrol,165,46.3,2.0
 5 Series,2019,23775.0,Semi-Auto,4447,Petrol,145,50.4,2.0
 X4,2018,43990.0,Semi-Auto,12,Diesel,145,42.8,2.0
 3 Series,2019,24440.0,Semi-Auto,12,Diesel,145,64.2,2.0
 3 Series,2019,24440.0,Semi-Auto,12,Diesel,145,60.1,2.0
 5 Series,2018,30990.0,Semi-Auto,12,Diesel,145,49.6,2.0
 4 Series,2019,23775.0,Manual,8293,Diesel,145,62.8,2.0
 5 Series,2019,31775.0,Semi-Auto,579,Diesel,145,60.1,2.0
 Z4,2019,34980.0,Semi-Auto,8004,Petrol,145,37.2,2.0
 5 Series,2019,26790.0,Semi-Auto,6110,Diesel,145,65.7,2.0
 X1,2018,21980.0,Semi-Auto,10708,Diesel,145,60.1,2.0
 3 Series,2020,32990.0,Semi-Auto,1125,Diesel,145,50.4,2.0
 3 Series,2019,27450.0,Semi-Auto,6038,Petrol,145,42.2,2.0
 X3,2019,33990.0,Semi-Auto,2538,Diesel,145,54.3,2.0
 3 Series,2019,21590.0,Semi-Auto,20000,Petrol,150,47.9,2.0
 3 Series,2019,21590.0,Semi-Auto,23000,Petrol,150,44.8,2.0
 1 Series,2020,23590.0,Manual,1104,Diesel,145,53.3,2.0
 X1,2017,20450.0,Semi-Auto,25725,Diesel,145,55.4,2.0
 3 Series,2019,23990.0,Semi-Auto,8389,Petrol,145,47.9,2.0
 4 Series,2019,24450.0,Semi-Auto,10831,Diesel,145,65.7,2.0
 X3,2017,17380.0,Semi-Auto,64648,Diesel,145,54.3,2.0
 2 Series,2018,20380.0,Semi-Auto,4172,Petrol,145,47.9,2.0
 3 Series,2019,21590.0,Semi-Auto,26000,Petrol,150,47.9,2.0
 3 Series,2019,21590.0,Semi-Auto,23000,Petrol,150,47.9,2.0
 3 Series,2019,21590.0,Semi-Auto,27000,Petrol,150,47.9,2.0
 4 Series,2019,19890.0,Semi-Auto,22000,Petrol,150,48.7,2.0
 4 Series,2018,20590.0,Semi-Auto,17000,Petrol,150,48.7,2.0
 3 Series,2019,26480.0,Semi-Auto,6012,Diesel,150,52.3,2.0
 3 Series,2019,25900.0,Semi-Auto,6486,Petrol,150,42.2,2.0
 X1,2013,10295.0,Semi-Auto,63993,Diesel,160,52.3,2.0
 X1,2016,17998.0,Semi-Auto,34813,Diesel,145,55.4,2.0
 X3,2019,35980.0,Semi-Auto,8088,Diesel,145,54.3,2.0
 5 Series,2018,26220.0,Semi-Auto,19504,Diesel,145,46.3,2.0
 2 Series,2020,28993.0,Semi-Auto,500,Diesel,145,67.3,2.0
 X2,2020,29993.0,Semi-Auto,500,Petrol,145,38.7,2.0
 X1,2017,14600.0,Manual,39460,Diesel,150,68.9,2.0
 X3,2019,29980.0,Semi-Auto,6231,Diesel,145,54.3,2.0
 X2,2019,30700.0,Semi-Auto,14352,Petrol,150,34.0,2.0
 2 Series,2020,32993.0,Semi-Auto,500,Diesel,145,47.1,2.0
 X3,2020,39993.0,Semi-Auto,500,Diesel,145,54.3,2.0
 Z4,2020,33993.0,Semi-Auto,603,Petrol,145,38.7,2.0
 2 Series,2019,20450.0,Semi-Auto,3422,Diesel,145,65.7,2.0
 3 Series,2019,22480.0,Manual,5567,Diesel,145,56.5,2.0
 3 Series,2019,24475.0,Semi-Auto,12991,Diesel,145,48.7,2.0
 4 Series,2019,24940.0,Semi-Auto,112,Petrol,145,45.6,2.0
 2 Series,2019,23980.0,Manual,110,Diesel,145,60.1,2.0
